127.0.0.1 - - [27/Feb/2026:19:24:51 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [27/Feb/2026:19:24:52 +0530] "GET /ASS07-FIRST-JSP-APP/ HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [27/Feb/2026:19:24:53 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [27/Feb/2026:19:25:11 +0530] "GET /ASS07-FIRST-JSP-APP/F HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [27/Feb/2026:19:25:15 +0530] "GET /ASS07-FIRST-JSP-APP/First HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [27/Feb/2026:19:25:17 +0530] "GET /ASS07-FIRST-JSP-APP/First HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [27/Feb/2026:19:25:39 +0530] "GET /ASS07-FIRST-JSP-APP/First.jsp HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [27/Feb/2026:19:34:46 +0530] "GET /ASS07-FIRST-JSP-APP/First.jsp HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [27/Feb/2026:19:34:47 +0530] "GET /ASS07-FIRST-JSP-APP/First.jsp HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [27/Feb/2026:21:56:20 +0530] "GET /ASS07-FIRST-JSP-APP/First.html HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [27/Feb/2026:21:56:26 +0530] "GET /ASS07-FIRST-JSP-APP/First? HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [27/Feb/2026:21:56:36 +0530] "GET /ASS07-FIRST-JSP-APP/First.jsp HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [27/Feb/2026:21:59:19 +0530] "GET /ASS07-FIRST-JSP-APP/First.html HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [27/Feb/2026:21:59:24 +0530] "GET /ASS07-FIRST-JSP-APP/First.jsp? HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [27/Feb/2026:22:00:16 +0530] "GET /ASS07-FIRST-JSP-APP/First.html HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [27/Feb/2026:22:00:22 +0530] "GET /ASS07-FIRST-JSP-APP/First.jsp? HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [27/Feb/2026:22:03:18 +0530] "GET /ASS07-FIRST-JSP-APP/First.html HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [27/Feb/2026:22:03:20 +0530] "GET /ASS07-FIRST-JSP-APP/First.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2026:22:03:20 +0530] "GET /ASS07-FIRST-JSP-APP/First.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2026:22:03:20 +0530] "GET /ASS07-FIRST-JSP-APP/First.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2026:22:03:20 +0530] "GET /ASS07-FIRST-JSP-APP/First.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2026:22:03:20 +0530] "GET /ASS07-FIRST-JSP-APP/First.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2026:22:03:21 +0530] "GET /ASS07-FIRST-JSP-APP/First.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2026:22:03:32 +0530] "GET /ASS07-FIRST-JSP-APP/First.jsp? HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [27/Feb/2026:22:03:52 +0530] "GET /ASS07-FIRST-JSP-APP/First.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2026:22:04:35 +0530] "GET /ASS07-FIRST-JSP-APP/First.jsp? HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [27/Feb/2026:22:04:40 +0530] "GET /ASS07-FIRST-JSP-APP/First.jsp HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [27/Feb/2026:22:07:08 +0530] "GET /ASS07-FIRST-JSP-APP/First.html HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [27/Feb/2026:22:07:14 +0530] "GET /ASS07-FIRST-JSP-APP/First.jsp?uname=swaraj HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [27/Feb/2026:22:18:07 +0530] "GET /ASS07-FIRST-JSP-APP/First.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2026:22:18:12 +0530] "GET /ASS07-FIRST-JSP-APP/First.jsp?uname=swaraj HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [27/Feb/2026:22:18:56 +0530] "GET /ASS07-FIRST-JSP-APP/First.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2026:22:18:59 +0530] "GET /ASS07-FIRST-JSP-APP/First.jsp?uname=swaraj HTTP/1.1" 200 294
