127.0.0.1 - - [14/Mar/2026:09:21:11 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [14/Mar/2026:09:21:12 +0530] "GET /APP-Student-Mgmt-System/aboutus.jsp HTTP/1.1" 200 2912
0:0:0:0:0:0:0:1 - - [14/Mar/2026:09:21:12 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [14/Mar/2026:09:27:28 +0530] "GET /APP-Student-Mgmt-System/aboutus.jsp HTTP/1.1" 200 4136
0:0:0:0:0:0:0:1 - - [14/Mar/2026:09:28:07 +0530] "GET /APP-Student-Mgmt-System/aboutus.jsp HTTP/1.1" 200 4146
0:0:0:0:0:0:0:1 - - [14/Mar/2026:09:28:22 +0530] "GET /APP-Student-Mgmt-System/aboutus.jsp HTTP/1.1" 200 4150
0:0:0:0:0:0:0:1 - - [14/Mar/2026:09:30:52 +0530] "GET /APP-Student-Mgmt-System/aboutus.jsp HTTP/1.1" 200 4233
0:0:0:0:0:0:0:1 - - [14/Mar/2026:09:31:51 +0530] "GET /APP-Student-Mgmt-System/aboutus.jsp HTTP/1.1" 200 4238
0:0:0:0:0:0:0:1 - - [14/Mar/2026:09:35:18 +0530] "GET /APP-Student-Mgmt-System/index.jsp HTTP/1.1" 200 2753
0:0:0:0:0:0:0:1 - - [14/Mar/2026:09:36:08 +0530] "GET /APP-Student-Mgmt-System/index.jsp HTTP/1.1" 200 2753
0:0:0:0:0:0:0:1 - - [14/Mar/2026:09:36:09 +0530] "GET /APP-Student-Mgmt-System/index.jsp HTTP/1.1" 200 2753
0:0:0:0:0:0:0:1 - - [14/Mar/2026:09:36:10 +0530] "GET /APP-Student-Mgmt-System/index.jsp HTTP/1.1" 200 2753
0:0:0:0:0:0:0:1 - - [14/Mar/2026:09:36:10 +0530] "GET /APP-Student-Mgmt-System/index.jsp HTTP/1.1" 200 2753
0:0:0:0:0:0:0:1 - - [14/Mar/2026:09:36:10 +0530] "GET /APP-Student-Mgmt-System/index.jsp HTTP/1.1" 200 2753
0:0:0:0:0:0:0:1 - - [14/Mar/2026:09:36:37 +0530] "GET /APP-Student-Mgmt-System/index.jsp HTTP/1.1" 200 2753
0:0:0:0:0:0:0:1 - - [14/Mar/2026:09:36:45 +0530] "GET /APP-Student-Mgmt-System/aboutus.jsp HTTP/1.1" 200 4238
0:0:0:0:0:0:0:1 - - [14/Mar/2026:09:36:51 +0530] "GET /APP-Student-Mgmt-System/addstudent HTTP/1.1" 200 3850
0:0:0:0:0:0:0:1 - - [14/Mar/2026:09:37:09 +0530] "POST /APP-Student-Mgmt-System/addstudent HTTP/1.1" 200 3961
0:0:0:0:0:0:0:1 - - [14/Mar/2026:09:37:19 +0530] "GET /APP-Student-Mgmt-System/display HTTP/1.1" 200 3739
0:0:0:0:0:0:0:1 - - [14/Mar/2026:09:37:22 +0530] "GET /APP-Student-Mgmt-System/display?srno=&sbtn=Refresh HTTP/1.1" 200 3739
0:0:0:0:0:0:0:1 - - [14/Mar/2026:09:37:23 +0530] "GET /APP-Student-Mgmt-System/display?srno=&sbtn=Refresh HTTP/1.1" 200 3739
0:0:0:0:0:0:0:1 - - [14/Mar/2026:09:37:30 +0530] "GET /APP-Student-Mgmt-System/display?srno=101&sbtn=Search HTTP/1.1" 200 3652
