127.0.0.1 - - [14/Apr/2026:21:41:43 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [14/Apr/2026:21:41:44 +0530] "GET /FoodAnalyzer/ HTTP/1.1" 200 4704
0:0:0:0:0:0:0:1 - - [14/Apr/2026:21:41:44 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [14/Apr/2026:21:41:53 +0530] "POST /FoodAnalyzer/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2026:21:41:53 +0530] "GET /FoodAnalyzer/dashboard HTTP/1.1" 200 16273
0:0:0:0:0:0:0:1 - - [14/Apr/2026:21:46:26 +0530] "GET /FoodAnalyzer/product?barcode=901088712583 HTTP/1.1" 200 982
0:0:0:0:0:0:0:1 - - [14/Apr/2026:21:46:56 +0530] "GET /FoodAnalyzer/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2026:21:46:56 +0530] "GET /FoodAnalyzer/login.jsp HTTP/1.1" 200 4704
0:0:0:0:0:0:0:1 - - [14/Apr/2026:21:47:03 +0530] "POST /FoodAnalyzer/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2026:21:47:03 +0530] "GET /FoodAnalyzer/dashboard HTTP/1.1" 200 16749
0:0:0:0:0:0:0:1 - - [14/Apr/2026:21:51:12 +0530] "GET /FoodAnalyzer/product?barcode=906166360229 HTTP/1.1" 200 982
0:0:0:0:0:0:0:1 - - [14/Apr/2026:21:53:11 +0530] "GET /FoodAnalyzer/product?barcode=+737628064502++++ HTTP/1.1" 200 1280
0:0:0:0:0:0:0:1 - - [14/Apr/2026:22:21:40 +0530] "GET /FoodAnalyzer/dashboard HTTP/1.1" 200 17757
0:0:0:0:0:0:0:1 - - [14/Apr/2026:22:22:11 +0530] "GET /FoodAnalyzer/ HTTP/1.1" 200 4704
0:0:0:0:0:0:0:1 - - [14/Apr/2026:22:22:18 +0530] "POST /FoodAnalyzer/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2026:22:22:18 +0530] "GET /FoodAnalyzer/dashboard HTTP/1.1" 200 17757
0:0:0:0:0:0:0:1 - - [14/Apr/2026:22:24:57 +0530] "GET /FoodAnalyzer/ HTTP/1.1" 200 4704
0:0:0:0:0:0:0:1 - - [14/Apr/2026:22:25:03 +0530] "POST /FoodAnalyzer/login HTTP/1.1" 200 4928
0:0:0:0:0:0:0:1 - - [14/Apr/2026:22:25:11 +0530] "POST /FoodAnalyzer/login HTTP/1.1" 200 4928
0:0:0:0:0:0:0:1 - - [14/Apr/2026:22:25:19 +0530] "POST /FoodAnalyzer/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2026:22:25:19 +0530] "GET /FoodAnalyzer/dashboard HTTP/1.1" 200 17757
0:0:0:0:0:0:0:1 - - [14/Apr/2026:22:27:16 +0530] "GET /FoodAnalyzer/product?barcode=906166360229 HTTP/1.1" 200 982
0:0:0:0:0:0:0:1 - - [14/Apr/2026:22:33:32 +0530] "POST /FoodAnalyzer/updateProfile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2026:22:33:32 +0530] "GET /FoodAnalyzer/dashboard HTTP/1.1" 200 18220
0:0:0:0:0:0:0:1 - - [14/Apr/2026:22:33:51 +0530] "POST /FoodAnalyzer/updateProfile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2026:22:33:51 +0530] "GET /FoodAnalyzer/dashboard HTTP/1.1" 200 18228
0:0:0:0:0:0:0:1 - - [14/Apr/2026:22:34:08 +0530] "POST /FoodAnalyzer/updateProfile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2026:22:34:08 +0530] "GET /FoodAnalyzer/dashboard HTTP/1.1" 200 18226
